review_id,user_id,business_id,stars_review,useful,funny,cool,text,date,sentiment,review_length,rating_category,name,city,state,stars_business,review_count,categories
be3YO5eCvvello6b9HVJuQ,r7edUPxxHvJK_SF8Zrt-xQ,nX-8oJQFZGVyLvjDCFAzXw,5,5,2,4,"the hidden gem of south jersey for sushi  this place looks like nothing from the outside and when you enter your surroundings really make you wonder whether it is okay to order raw fish from such a place  well im here on yelp to assure you it is  

singapore is great  the best spicy tuna rolls i have ever had and the entire menu is very reasonably priced  the staff is some of the friendliest around  could probably use a larger soup selection but now im nit picking  if i got a call from a friend to meet for lunch over at singapore i would cancel any plans i had and be there  highly recommended",05-08-2010 01:53,positive,599,high,Singapore Restaurant & Sushi Bar,Mount Laurel,NJ,4.0,98,"Japanese, Chinese, Restaurants, Noodles, Sushi Bars, Asian Fusion, Singaporean"
cMEy0wjWO3-zwg77W5680A,f0914S5a6l-dQ4-4b5ZMFg,jlkDIOPoRP9SJXTkRVpkMQ,5,0,0,1,"i finally made it over to bff cafe today  i must say they are fabulous so happy to have you all in town 
my daughter and i loved the cauliflower bread im happily eating the hummus and veggie tray now and the juicesyum ill definitely be back",07-01-2017 23:20,positive,240,high,BFF Cafe,Reno,NV,4.0,92,"Greek, Food, American (New), Specialty Food, Cafes, Restaurants, Breakfast & Brunch, Vegetarian, Gluten-Free, Diners, Burgers"
DQ1sjmpKzAznRj7mQNRUig,0PiNh_DKm9bRd65oQFbMCQ,UUOOjXAyk7dBpwTtKCnwyg,5,1,0,1,"casita was the best kept secret on 4th street until the building was sold out from under them and they had to move  now they join the burgeoning restaurant scene in grand central a stones throw from taco bus

i like both places but casita taqueria is distinctly different from the yellow bus in a number of ways the tacos are all handmade and therefore thicker no need for doubling up the fish tacos are not battered but taste superfresh and healthy with their signature pineapple salsa and crema  the menu overall tastes healthier with greater emphasis on fresh flavors  though the standard menu is small with the focus on the tacos theres an everchanging list of specials depending on what is fresh and in season  you can never go wrong with any of them  try the tortilla soup and the mexican salads  the cinnamondusted red sangria is also great

the staff is always sweet and friendly and do their utmost to get the food out fresh and fast even when the line is out the door  cant wait to visit them in their new location",21-03-2014 15:36,positive,1024,high,Casita Taqueria,Saint Petersburg,FL,4.5,103,"Restaurants, Mexican, Food"
9uvS2CZZXMBvCBG-c3HSbg,2xWGCfc2GeTEaspPPPKSOA,SlGNxQI23jc9iTZNTs_I3g,2,0,1,0,"the drafting room is a decent place if youre looking for table service belgian beers and dinner  but it misses the mark much too often for it to become a regular hangout  though they have a huge selection of beers and the cheapest lindemans fruit lambic in the area the service is erratic and the food has plummeted in quality since our first visit

my biggest gripes are the sticky tables and menus crumbstrewn chairs and flies buzzing at the window  honestly a huge turnoff considering theyre trying to push themselves as a decent restaurant",04-08-2011 13:37,negative,543,low,The Drafting Room Tap Room & Grill,Exton,PA,3.5,104,"Restaurants, Nightlife, American (Traditional), American (New), Breakfast & Brunch, Bars"
D4UUwqW7jnKX-dXfoOpmAQ,RgXJC2QHvCMYBhwEvbtBZw,_aKr7POnacW_VizRKBpCiA,5,0,0,0,best sandwiches in stlouis could eat here everyday always a very friendly crowd when i come and eat here,28-05-2018 20:23,positive,104,high,Blues City Deli,Saint Louis,MO,5.0,991,"Delis, Bars, Restaurants, Nightlife, Pubs, American (Traditional), Sandwiches"
4tZ37_bnjf_LfksW5YYs4A,5ggkw4nx4y12RKI3VXiciw,eaJCpC6IhYphj7bwCDHTwQ,5,0,0,0,great coffee  if you get to be served by colin he was very friendly and knowledgeable  the aeropress was awesome,26-02-2017 04:43,positive,112,high,Three Brothers Coffee,Nashville,TN,4.5,249,"Bagels, Sporting Goods, Outdoor Gear, Coffee & Tea, Cafes, Sandwiches, Food, Shopping, Internet Cafes, Restaurants"
MrpuIyJABf6daH5F7TwOGQ,LYVK0THpducvG9Y9eEmI5g,M2ZrrqseHE5xssUrOL0Gtg,3,0,0,0,meh good drunk food nothing to blow your mind trips smokes their food all day but this place has a big following people grew up on it and love it give it a shot it may be your thing,11-06-2018 01:35,neutral,181,low,The Three Coins Diner,Tampa,FL,4.0,341,"American (Traditional), Restaurants"
bk9bG13EDDoKkGIqhlG-zA,nu1KVPpaZUjmuAFRQvYvmA,oLc7k78_YcDMnMCdbC-h1A,3,1,0,0,"meh 

i got here ten minutes before the rest of the group showed up and was wondering what the heck was i doing here 

typical bar food that was ok beer selection was just ok 

if it wasnt for the friendly staff it would have been two stars at least the prices were reasonable 

potentially this place could have a good vibe a little more pride in ownership as in better bathrooms etc can go a long way",20-01-2015 16:54,neutral,402,low,Lucy's Retired Surfers Bar & Restaurant,New Orleans,LA,3.5,514,"American (Traditional), Bars, Nightlife, Restaurants"
HwX6JjlBErkpC59B8yy1hw,_JojPaGI41gJajsyEVEduQ,ySXKjndttZjNy3kcqRqG3g,1,4,2,2,"gimmicky tourist trap restaurant to startseafood isnt fresh expensive prices for crap food everything we ordered was terrible i wanted just a fish sandwich and all they offered on the menu was a grouper reuben sandwich i took a risk and ordered it blah it was horrible a piece of bland unseasoned fish on dried out rye bread with soggy coleslaw thousand island dressing and swiss cheese i took one bite and my sandwich fell apart in my hands with cole slaw spilling out everywhere disgusting our old bay boiled shrimp appetizer was gross too  12 boiled shrimp that werent cleaned i could taste and tell that they were frozen a few of the shrimp i couldnt even peel cause the shrimp was mush i spent forever cleaning the black crap out of the shrimp before i could even eat them 
to top off the horrendous meal we barely touched our waiter was lazy and rude never refilled our drinks had an attitude and was dishonest ten employees standing around the host station doing nothing but talking and laughing about everyone rude customer service i complained to the manager worst meal ive had in a long time we will never be back",30-09-2015 04:22,negative,1123,low,Islamorada Fish Company Restaurant,Tampa,FL,2.5,136,"Sandwiches, Fish & Chips, Restaurants"
uH3yKK0IUr4Johc7QJYy7w,5DwxyuZNlV8zwvjFVzFvwA,X7YBx8CybmIPymZ0ThCmng,4,0,0,0,"came in yesterday well after the lunch rush and it was empty  im sure the staff was happy to have that downtime  thats a great time to get caught up on side work paper work whatever you cant seem to get to during an insane lunch rush

what turned me on to this place was the fact that they had sandwiches on seeded french bread  so right off the starting block i knew one thing  no matter what i ordered it was going on seeded french bread  i settled on the cajun bacon turkey melt and a cup of the soup which ill get to later  the sandwich was dynamite  the combination of the turkey cajun bacon provel and ltm was really good  so much so that the bacon still retained some of its crisp which was a great textural counterpoint to the softer items between the bread all enveloped by the subtlety of sesame seed

so on to the soup  the soup of the day was lobster bisque  it certainly tasted of lobster but there were no pieces of lobster in it  furthermore it was runny  bisques are by their nature a heartier thicker soup  this soup was certainly rich but its consistency was sort of between halfandhalf and vitamin d milk  maybe the addition of a little flour or cornstarch to thicken it would help  a splash of cream sherry would really bring the whole dish together along with some chunks of lobster

from a service perspective everything was great  the staff will take your order make your sandwich to order and then bring it out to you  while that was perfectly fine after the lunch rush im sure it can be insanity during a lunch rush  either way the service was great

so despite my soup experience the sandwich was great  thats why im giving nsd 4 out of 5 stars  will i be back  absolutely  theyve got other soups on the menu and other amazing sandwiches to try",03-12-2013 16:44,positive,1770,high,Ninth Street Deli at Howards,Saint Louis,MO,4.5,128,"Restaurants, Sandwiches, Bars, American (New), Food, Breakfast & Brunch, Delis, Nightlife, American (Traditional)"
RodeUG_3myi7VjOrtDsIkA,yWIsz8NNXgrgQCT4s_PM4A,K1r1fGmCbrmC_V6Aj22Zew,5,0,0,0,i custom ordered a twotier little mermaid theme cake and it was perfect  in fact the design turned out better than i imagined from the sketch the baker and i created  and it was absolutely delicious too  one tier was vanilla cake with raspberry filling and the second tier was pink champagne cake with strawberry cream filling having recently moved here from chicago i was surprised by the lack of places to order beautiful custom cakes but village bakehouse knocked it out of the park and doesnt make me miss the vast options in chicago anymore  thank you village bakehouse  your cake was a hit at the little mermaid birthday party and we will be ordering from you in the future,13-08-2017 22:01,positive,679,high,Village Bakehouse,Tucson,AZ,4.0,296,"Bakeries, Restaurants, Food, Breakfast & Brunch, Sandwiches"
ajagqsRX0_yd75P8QIaKrw,3ZwECQqgRpA5C-KgW7RqRQ,AtIGlkUITdQFhAG_JWp-Og,5,1,0,1,amazing food good quality and prices are very reasonable for the quality of food the owner is wonderful we had a great time and i would highly recommend this restaurant,29-03-2018 17:01,positive,168,high,Cafe Bosna,Hermitage,TN,4.5,135,"Modern European, Cafes, American (New), Restaurants"
jrvmm2QSeEjoFp0H9OAZ0Q,ycXDvH-nE4SbKOr5hyTVkQ,CyGVQVUf9NVbBKK9V0pxUg,4,0,0,0,hmm what to say about costco great prices on things that i eat a ton of cereal milk yoghurt hummus crackerschips and huge bulk portions that make me happy and last a long time beware though that bulkers cant be choosers so you may not always find exactly what you want for example there is only plain yoghurt in big containers they do have both almond milk and soy milk which is awesome for those of us who try to eat organic when possible there is an awesome selection of organic food if you look out for it as well as a few cool local brands tucked in here and there not everything is as cheap as you could find it at aldi marsh etc but if convenience is the name of your game then this is the place to go the customer service is also phenomenal with many people ready to help you find something or answer questions about membership or whatever it is that you need help with theyll do it with a smile,10-04-2011 18:06,positive,902,high,Costco,Indianapolis,IN,4.0,85,"Shopping, Wholesale Stores, Grocery, Food"
bJdizB4FT18rXKMMOyomdw,ZX06uLfyS5tTjeDXBnIdTg,_49FsmTfruZSTjxU4OwOsg,4,0,0,0,i love the fresh food and flavor of this place  nice interesting concept  lots of vegetarian and gluten free options  parking is a challenge but the food and service are worth the walk,24-02-2013 14:14,positive,184,high,Taziki's Mediterranean Cafe - West End,Nashville,TN,3.5,120,"Greek, Restaurants, Mediterranean"
Sm6Ao3lYd07ioafWPKtOnw,hWDybu_KvYLSdEFzGrniTw,2Zhkl-UenNSc7XkdeG112g,2,5,4,4,not so great too doughy too greasy and too expensive but theyre big and theres a lot of toppings,23-07-2015 22:18,negative,96,low,Famous Famiglia,Nashville,TN,1.5,25,"Restaurants, Food, Pizza"
9PSqHxsdH4EaxDJqMg-bgw,WkfCJbJcLaK29TQEZ3lVOA,Vnob_w_Aohf7ZDqxcJ9z2A,5,4,0,1,this place has a very nice atmosphere especially if you need a place to just eat  relax after a long working day both my bf  i enjoyed the food there i highly recommend trying their vietnamese pork tacos and the sizzling steak  eggs we would definitely come back really soon,19-01-2014 03:19,positive,274,high,Mint Modern Vietnamese Bistro & Bar,New Orleans,LA,4.0,403,"Bars, Restaurants, Food, Nightlife, Vietnamese, Bubble Tea"
Lvwj_U3VpX4wL9bLfQivew,54lY58kQXx82IIg1yFvwSw,cbkrO0zra1OiNGvtjw2igQ,1,0,0,0,my shrimp chow mein literally had about 3 pieces of really tiny shrimp this other noodle dish i ordered i think it was called dan dan or something was just straight up inedible because there was this insanely strong herby flavor had about two bites and threw it away bleh tried this place once probably wont ever go back,17-03-2017 03:52,negative,320,low,Wok On the Wild Side,Goleta,CA,2.0,95,"Restaurants, Chinese"
xmbMq7fSxzEsoU6iJKmWJw,7ifQJ3fh7s3fCdvqolInLQ,bRRlWJeuPtmI3UuGhh43Wg,2,0,0,0,service was great but food was mediocre and flavorless all around i dont understand why there is always a waitvery disappointing when the toast is the best thing on your plate,21-05-2017 18:17,negative,175,low,Yolk Iron Works,Indianapolis,IN,4.0,291,"American (New), Cafes, Breakfast & Brunch, American (Traditional), Coffee & Tea, Food, Restaurants"
to4iXtNOPBWfrT8m0eRBHg,iL70ukJTRhtQF7lY52MTWg,pvnv9XvTXwYBpfScd29rrQ,2,1,0,0,"i grabbed a groupon deal to bring my fiancee here while there werent any completely unforgivable things here there wasnt anything positive to note either aside from some admirable attempts at recovering the situation by the server

we arrived and were seated quickly we placed our orders me for the corn risotto her for linguini with clam sauce shell write about her meal in her review but there was an incident involving miscommunication from the kitchen regarding her dish

plating at this place is bizarre to put it kindly partially cooked and raw vegetables were stuck into the dishes in an artful fashion to the point that i thought her linguini with clam sauce was a pasta primavera at first i was honestly confused by the plating

my risotto was pointless overcooked rice mush plated with the whole pallet of the aforementioned cooked partially cooked and raw veggies some soggy mushrooms and a dollop of goats cheese in the middle with corn mixed through at the end of the meal i realized that the corn was either canned or frozen this should ultimately have been obvious from seeing it on the menu since this isnt exactly sweetcorn season which is why you have you know season menus

i know risotto is a time consuming dish and is sensitive to overcooking but many restaurants manage to parcook their rice and successfully finish it to the right level without overcooking or taking forever

i think the most damning thing is that i didnt finish my meal this is a very odd thing for me as i was raised to clean my plate unless im full unto bursting which i wasnt here 

other than our meal my fiancee had two glasses of wine supposed to be the same not sure how they screwed it up but the wines were completely different the server though was a sweetheart and offered an on the house dessert for our troubles with her meal and comped the erroneous wine we also sat and watched a salad languish in the window for a timed 15 minutes while waiting for our food

we passed on the dessert as it appeared to just be a sysco food service selection

i think there was a reason that we were the youngest patrons in the place by between 15 and 20 years",08-01-2012 06:00,negative,2150,low,Luna Bella,Tucson,AZ,3.0,38,"Caterers, Restaurants, Italian, Event Planning & Services"
bVALI8kzmuyHFU28hBEymg,uARH_YRIF50QMr98gjhD7g,wCluBbW9nzS7MEMFltMwJw,3,4,0,0,ive such raving comments about the food herei just wish i had something to rave about i got a whiting fish sandwich and my fish were in little pieces like mini fillets the wait was 30 min and i loved the homemade chicken tenders the sauce was great and the size of the chicken was nice as welli hope to return in the near futuremaybe i will just get pasta instead of the fish,11-01-2014 14:51,neutral,375,low,Tasties,Philadelphia,PA,2.5,106,"Food, Imported Food, Food Trucks, Desserts, Seafood, Steakhouses, Ethnic Food, Sandwiches, Soul Food, Specialty Food, Restaurants"
Mqa2XELI9ZLiwZ4bCqKCPg,A_cc2tU92JcCmk71LmrFsg,ixPTo6Hum7nNZ7A4VPhTXg,2,0,0,0,"we just happened to drive by and saw this place so we decided to stop for lunch once we sat down i realized this is not a place for families because it was filled with men i soon realized the over population of male customers was because of the attractive all female servers the menu looked good and they had a kids menu so we decided to stay we ordered the pretzels sticks chicken bites yard bird sandwich and lamb burger everything tasted ok nothing exceptional the worst part was the two men sitting next to us who were drunk literally doing shots at 100pm on a tuesday they were oldermiddle aged every other word was a swear and they were obnoxious to the servers thats the sort of clientele this place attracts the best part was our server though she was very efficient and nice 

lastly the bathrooms were disgusting mold all over the sink like it has not had a thorough leaning in a loooooong time",28-07-2015 19:00,negative,904,low,Brick House Tavern + Tap,Tampa,FL,3.5,561,"Restaurants, Burgers, American (Traditional), Bars, Pubs, Nightlife"
oqv1u_zmxb3DOm8HU9pIRg,5ue22syJrtohSFMYYjt24g,7ELSYoA2CZx8UPSLrvhOXg,4,1,0,0,this is the cleanest and best operated of all the country maids stores nice selection of meats cheeses and staples always running deli specials very good subs and not a bad place to grab a egg sandwich for breakfast friendly staff ,01-06-2014 19:04,positive,231,high,C & C Country Maid,Newark,DE,4.0,10,"Restaurants, Delis"
XOgMCujLY47kGnI4rFjtnQ,RmWLnIpEv1X3kGXoL8gxrg,OHzX-ZD9qyoeoxR8Z0dlIA,3,1,1,0,although they did have several vegetarian options i wasnt a fan of the flavors i got the pulled pork nachos and i feel like it wouldve been better without the vegan pulled pork the pulled pork tasted tart to me i probably wont be coming back for the food because i feel like as a vegetarian there are better places,22-06-2017 19:36,neutral,314,low,Khyber Pass Pub,Philadelphia,PA,4.0,845,"Restaurants, American (Traditional), Bars, Pubs, Nightlife, Gastropubs"
oD9JPmOi827F7qSAGEjQKQ,j9dKatE8wsGsm-h_c-45iQ,vA5MHe9LqNQcp8k_CaFkHg,5,2,0,0,stopped in last night thinking they had the all you can eat crabs  mussels only to find out we had the wrong day we  my daughter  i  decided to try the mussels and they were good we will definitely be going back for the all you can eat,16-04-2013 15:51,positive,235,high,Dagwood's Pub,Philadelphia,PA,4.0,123,"Restaurants, Pubs, Nightlife, Bars, Seafood"
C4ywUsg59IfVxI1iaN6cOQ,FEBpYxrY-XSYw0AbSHTUDA,0wQCEcpZ57TmTm6EmEDsIw,4,0,0,0,ate here twice great food had pork nachos appetizer for meal the first time way more food than i expected second time was a private reception with a buffet all the meat was excellent ribs were ultra tender  tossed salad was fresh and could make a meal off it would certainly return if i lived nearby good local beers and cocktail selection,09-08-2015 20:05,positive,339,high,Hendricks BBQ,St Charles,MO,3.5,572,"Food, Comfort Food, Restaurants, American (Traditional), Barbeque, American (New), Southern"
1px7R4oaj8Z5_Tgkh-McJA,Q3kJdPBIWoQUL1muuwZEcQ,gOtY7zJ1rIu6UIHXEvh5sA,4,0,0,0,this candy store is one of best kept secrets of nola everything is good and shrink wrap each box after tell them what you want in it to help preserve their great treats my favorite is milk chocolate turtles the only down side is most everything is pretty pricy but there is nothing that is bad,14-08-2017 05:13,positive,293,high,Southern Candymakers,New Orleans,LA,4.5,377,"Specialty Food, Food, Chocolatiers & Shops, Desserts, Shopping, Gift Shops, Candy Stores, Flowers & Gifts"
JLHfctYRhA3C6u9P0OQxtQ,TT-oikFKqt_EvQ_9T5q4LQ,Y3ZCO17N1_T_Ms1JmswwzA,4,0,0,0,yummy tacos real mexican food love this place the food is very flavorful and the home made tortillas are delicious home made horchata which is my favorite drink the meat is cooked perfectly a good little taco restaurant,25-04-2016 21:03,positive,219,high,Taqueria Pico De Gallo,Tucson,AZ,4.0,397,"Mexican, Restaurants"
